Predicted edge,Home Adress Distance in KM,Distance Between Facebook Adress in KM
JM-DK,63,56
JM-MS,109,119
JM-DD,53,50
JM-JS,55,70.5
JM-PP2,102.3,100.1
JM-AM,19,23
JM-SKS,22.5,21
JM-DP,56,60
JM-PP1,103,117.3
DK-PP1,96,60
DK-DP,104,115.3
DK-SKS,90,117
DK-PP2,75,80
DK-JS,35,55
DK-DD,45,65
DK-MS,35,25
DP-PP1,45,95.5
SKS-PP1,55,65.3
AM-PP1,65,70.3
PP2-PP1,75,110
JS-PP1,77,70.12
MS-PP1,85,80.1
DP-PP2,99,90.6
DP-JS,89,88
DP-DD,87,85
SKS-PP2,88,83.1
SKS-JS,104,100.3
SKS-DD,78,77.3
AM-PP2,304,291.3
AM-JS,566,560
AM-DD,455,430.2
PP2-DD,409,510
PP2-MS,102,110.5
JS-DD,78,75.3
JS-MS,89,80.3
DD-MS,107,105.3
